state	Year	tax_state	cost_per_pack	tax_percent	tax_revenue	tax_dollar	sales_per_capita	index	price_cpi
Alaska	2009	2	7.605	39.6	62882219	3.01	45.8	214.537	8.15313908556566
Alaska	2010	2	7.607	39.6	61237633	3.01	43.8	218.0555	8.023691216227062
Alaska	2011	2	8.494	35.4	61478147	3.01	43.3	224.93916666666667	8.685103750273221
Alaska	2012	2	8.3	36.3	59586835	3.01	41.2	229.59391666666667	8.314680230711689
Alaska	2013	2	8.659	34.8	56983372	3.01	39	232.95708333333334	8.549085400207835
Alaska	2014	2	8.901	33.8	54624390	3.01	37.2	236.73616666666666	8.647728096749052
Alaska	2015	2	9.018	33.4	52702165	3.01	35.8	237.017	8.751017859478434
Alaska	2016	2	9.013	33.4	52573488	3.01	35.6	240.00716666666668	8.637200416931995
Alaska	2017	2	9.253	32.5	48857026	3.01	32.9	245.11958333333334	8.682252030046559
Alaska	2018	2	9.37	32.1	46021896	3.01	31.1	251.10683333333333	8.582402841818322
Alaska	2019	2	9.553	31.5	44773153	3.01	30.4	255.65741666666668	8.594274434309716
Arizona	1970	0.1	0.385	46.7	19510371	0.18	115.2	38.825	2.2807469414037347
Arizona	1971	0.1	0.38	47.4	19640088	0.18	109.6	40.49166666666667	2.1584688207450093
Arizona	1972	0.1	0.387	46.5	23116211	0.18	125	41.81666666666666	2.128577122359506
Arizona	1973	0.1	0.392	45.9	24963408	0.18	128.3	44.4	2.0306306306306308
Arizona	1974	0.1	0.477	44	27387025	0.21	133.1	49.30833333333334	2.2249788744296093
Arizona	1975	0.13	0.491	42.8	34513342	0.21	121.8	53.81666666666667	2.0984205636419944
Arizona	1976	0.13	0.487	43.1	35349459	0.21	122.3	56.90833333333333	1.9682530385122272
Arizona	1977	0.13	0.536	39.2	35910542	0.21	121.7	60.608333333333334	2.0340437233603743
Arizona	1978	0.13	0.586	35.8	37232113	0.21	124.7	65.23333333333333	2.0661216147164025
Arizona	1979	0.13	0.608	34.5	38135772	0.21	124.6	72.575	1.9268343093351703
Arizona	1980	0.13	0.633	33.2	40387868	0.21	126.8	82.40833333333333	1.7666902619071696
Arizona	1981	0.13	0.733	28.6	40210749	0.21	113.8	90.925	1.854165521033819
Arizona	1982	0.13	0.805	26.1	41240299	0.21	113.5	96.5	1.9186528497409328
Arizona	1983	0.13	0.928	31.3	41322538	0.29	111.1	99.6	2.142971887550201
Arizona	1984	0.13	0.988	31.4	42047774	0.31	107.1	103.88333333333333	2.1874538745387455
Arizona	1985	0.15	1.067	29.1	49914889	0.31	107.1	107.56666666666666	2.2814688565230865
Arizona	1986	0.15	1.135	27.3	51271543	0.31	107.9	109.60833333333333	2.381661978255911
Arizona	1987	0.15	1.135	27.2	51756221	0.31	106.1	113.625	2.297469746974697
Arizona	1988	0.15	1.256	24.3	52761017	0.31	102.2	118.25833333333333	2.4427876823338734
Arizona	1989	0.15	1.302	23.8	50497361	0.31	96.8	123.96666666666667	2.415649368109707
Arizona	1990	0.15	1.514	22.5	47367639	0.34	88.9	130.65833333333333	2.665118948912558
Arizona	1991	0.15	1.657	22.9	52400987	0.38	81.2	136.19166666666666	2.798335678883926
Arizona	1992	0.18	1.836	20.7	53152206	0.38	79	140.31666666666666	3.0094785603990974
Arizona	1993	0.18	1.621	25.9	54098346	0.42	80.3	144.45833333333334	2.580882607441592
Arizona	1994	0.18	1.629	25.8	54392580	0.42	79	148.225	2.527711249789172
Arizona	1995	0.18	2.079	39.4	109614212	0.82	77.3	152.38333333333333	3.1379415946625837
Arizona	1996	0.58	2.22	36.9	171622649	0.82	71.4	156.85	3.2553394963340776
Arizona	1997	0.58	2.31	35.5	166315143	0.82	64.6	160.51666666666665	3.3099366628595166
Arizona	1998	0.58	2.501	32.8	169626199	0.82	66	163.00833333333333	3.5288379939675885
Arizona	1999	0.58	3.177	25.8	166481637	0.82	61.7	166.575	4.386672669968483
Arizona	2000	0.58	3.458	26.6	162795250	0.92	58.5	172.2	4.61869918699187
Arizona	2001	0.58	3.606	25.5	160870757	0.92	54.1	177.06666666666666	4.683998493975904
Arizona	2002	0.58	3.85	40.8	160155700	1.57	52	179.875	4.922863099374566
Arizona	2003	1.18	4.031	38.9	216941668	1.57	48.2	183.95833333333334	5.039891279728199
Arizona	2004	1.18	3.967	39.6	280173860	1.57	42.5	188.88333333333333	4.830547957292862
Arizona	2005	1.18	4.156	37.8	286386310	1.57	42.3	195.29166666666666	4.894627693620653
Arizona	2006	1.18	4.35	36.1	296078470	1.57	42.2	201.59166666666667	4.963002769625067
Arizona	2007	2	5.202	45.9	354887901	2.39	37.5	207.34241666666668	5.770454590212888
Arizona	2008	2	5.466	43.7	397172122	2.39	31.8	215.3025	5.839133312432508
Arizona	2009	2	6.274	48	371476941	3.01	28.6	214.537	6.7262057360734975
Arizona	2010	2	6.459	46.6	327381714	3.01	24.8	218.0555	6.8128068312883645
Arizona	2011	2	6.492	46.4	328721247	3.01	27.1	224.93916666666667	6.638061401786409
Arizona	2012	2	6.6	45.6	322217444	3.01	25	229.59391666666667	6.611673436469535
Arizona	2013	2	6.622	45.5	316111769	3.01	24.4	232.95708333333334	6.537942432171877
Arizona	2014	2	6.752	44.6	304872144	3.01	23	236.73616666666666	6.559876430653815
Arizona	2015	2	6.916	43.5	310164906	3.01	23	237.017	6.7112485602298575
Arizona	2016	2	6.923	43.5	318976882	3.01	23.1	240.00716666666668	6.634343557796538
Arizona	2017	2	7.104	42.4	316089295	3.01	22.5	245.11958333333334	6.665807675505323
Arizona	2018	2	7.362	40.9	306302317	3.01	21.8	251.10683333333333	6.743185669313393
Arizona	2019	2	7.513	40.1	296712275	3.01	20.7	255.65741666666668	6.759005948389919
Arkansas	1970	0.1225	0.388	53.5	24493875	0.2075	100.3	38.825	2.298518995492595
Arkansas	1971	0.1775	0.441	58.4	27438688	0.2575	104.1	40.49166666666667	2.5049598682856553
Arkansas	1972	0.1775	0.451	57.1	35848433	0.2575	103.9	41.81666666666666	2.4805898764447987
Arkansas	1973	0.1775	0.455	56.6	37917550	0.2575	108	44.4	2.356981981981982
Arkansas	1974	0.1775	0.486	53	39654387	0.2575	109.7	49.30833333333334	2.2669596079094134
Arkansas	1975	0.1775	0.509	50.6	42027562	0.2575	114.8	53.81666666666667	2.1753484050789718
Arkansas	1976	0.1775	0.526	49	44721125	0.2575	119.1	56.90833333333333	2.1258749450871286
Arkansas	1977	0.1775	0.565	45.6	45878425	0.2575	122.6	60.608333333333334	2.144094596452633
Arkansas	1978	0.1775	0.584	44.1	48463712	0.2575	127.3	65.23333333333333	2.0590700051098616
Arkansas	1979	0.1775	0.615	41.9	49072538	0.2575	126.5	72.575	1.9490182569755425
Arkansas	1980	0.1775	0.647	39.8	50988650	0.2575	131.8	82.40833333333333	1.805763980179998
Arkansas	1981	0.1775	0.721	35.7	52216063	0.2575	128.7	90.925	1.8238108331042067
Arkansas	1982	0.1775	0.82	31.4	51931175	0.2575	127.4	96.5	1.95440414507772
Arkansas	1983	0.21	0.936	39.5	54616725	0.37	128	99.6	2.1614457831325304
Arkansas	1984	0.21	0.985	37.6	60611138	0.37	123.1	103.88333333333333	2.180811808118081
Arkansas	1985	0.21	1.036	35.7	62733844	0.37	125.8	107.56666666666666	2.215184381778742
Arkansas	1986	0.21	1.13	32.7	62155739	0.37	126	109.60833333333333	2.3711700752679996
Arkansas	1987	0.21	1.199	30.8	61658584	0.37	122.3	113.625	2.427018701870187
Arkansas	1988	0.21	1.277	29	61767668	0.37	121.5	118.25833333333333	2.4836304700162075
Arkansas	1989	0.21	1.412	26.2	60710757	0.37	118.3	123.96666666666667	2.619736488303307
Arkansas	1990	0.21	1.465	25.3	57859721	0.37	113.1	130.65833333333333	2.578863447923975
Arkansas	1991	0.21	1.773	23.7	57851063	0.42	116.8	136.19166666666666	2.994236064370067
Arkansas	1992	0.21	1.799	23.3	65362674	0.42	126	140.31666666666666	2.948830027319159
Arkansas	1993	0.22	1.681	33	72196949	0.555	113.8	144.45833333333334	2.676411883472743
Arkansas	1994	0.345	1.673	33.2	81346688	0.555	108.8	148.225	2.5959858323494687
Arkansas	1995	0.315	1.671	33.2	86742788	0.555	113	152.38333333333333	2.522126216777863
Arkansas	1996	0.315	1.813	30.6	85978675	0.555	110.7	156.85	2.6585272553394965
Arkansas	1997	0.315	1.873	29.6	85952917	0.555	108.7	160.51666666666665	2.6837711556432358
Arkansas	1998	0.315	2.069	26.8	86593871	0.555	109.5	163.00833333333333	2.91929860436583
Arkansas	1999	0.315	2.793	19.9	83303347	0.555	104.8	166.575	3.8564610535794692
Arkansas	2000	0.315	2.944	22.2	82409447	0.655	99.4	172.2	3.9321718931475034
Arkansas	2001	0.315	3.3	19.8	85619768	0.655	101.7	177.06666666666666	4.286521084337349
Arkansas	2002	0.34	3.522	20.7	79846771	0.73	87.2	179.875	4.503460736622655
Arkansas	2003	0.59	3.596	27.3	86736560	0.98	91.6	183.95833333333334	4.4960181200453
Arkansas	2004	0.59	3.535	27.7	131000087	0.98	79.8	188.88333333333333	4.304508956145769
Arkansas	2005	0.59	3.53	27.8	129860482	0.98	82.1	195.29166666666666	4.157371452954982
Arkansas	2006	0.59	3.714	26.4	133418145	0.98	81.4	201.59166666666667	4.237377537100574
Arkansas	2007	0.59	3.822	25.6	127394493	0.98	78.4	207.34241666666668	4.239653487849608
Arkansas	2008	0.59	3.93	24.9	128864614	0.98	77	215.3025	4.198279165360366
Arkansas	2009	1.15	5.288	40.8	148826375	2.16	72.6	214.537	5.669138656735202
Arkansas	2010	1.15	5.454	39.6	206311982	2.16	63.2	218.0555	5.752755605797606
Arkansas	2011	1.15	5.551	38.9	200418005	2.16	61.1	224.93916666666667	5.675890148077073
Arkansas	2012	1.15	5.485	39.4	199654545	2.16	60.5	229.59391666666667	5.494701333187182
Arkansas	2013	1.15	5.521	39.1	190245330	2.16	57.5	232.95708333333334	5.450918176988966
Arkansas	2014	1.15	5.508	39.2	179735100	2.16	54.4	236.73616666666666	5.351273604863923
Arkansas	2015	1.15	5.655	38.2	177322717	2.16	54	237.017	5.487581059586443
Arkansas	2016	1.15	5.744	37.6	179027016	2.16	54.2	240.00716666666668	5.5045022961119905
Arkansas	2017	1.15	5.958	36.3	173931263	2.16	52.4	245.11958333333334	5.590495795419582
Arkansas	2018	1.15	6.055	35.7	167579954	2.16	50.2	251.10683333333333	5.546045806532544
Arkansas	2019	1.15	6.259	34.5	161909335	2.16	47.6	255.65741666666668	5.630855614398044
California	1970	0.1	0.397	45.3	239111000	0.18	123	38.825	2.351835157759176
California	1971	0.1	0.399	45.1	241878000	0.18	121	40.49166666666667	2.2663922617822596
California	1972	0.1	0.399	45.1	249849000	0.18	123.5	41.81666666666666	2.194579513750498
California	1973	0.1	0.419	43	254630000	0.18	124.4	44.4	2.1704954954954956
California	1974	0.1	0.45	40	261029000	0.18	126.7	49.30833333333334	2.0990366739901973
California	1975	0.1	0.483	37.3	265698000	0.18	127.1	53.81666666666667	2.064230411892227
California	1976	0.1	0.49	36.7	271234000	0.18	128	56.90833333333333	1.9803778005564505
California	1977	0.1	0.587	30.7	272021000	0.18	126.4	60.608333333333334	2.2275814656950366
California	1978	0.1	0.601	30	276202000	0.18	126.1	65.23333333333333	2.119008686765457
California	1979	0.1	0.621	29	271823000	0.18	121.9	72.575	1.9680330692387185
California	1980	0.1	0.664	27.1	272774000	0.18	120.2	82.40833333333333	1.8532106380827182
California	1981	0.1	0.728	24.7	280626000	0.18	118.6	90.925	1.8415177343964804
California	1982	0.1	0.849	21.2	279205000	0.18	115.4	96.5	2.023523316062176
California	1983	0.1	0.949	27.4	273943000	0.26	110.8	99.6	2.1914658634538156
California	1984	0.1	0.98	26.5	265535000	0.26	104.8	103.88333333333333	2.1697416974169745
California	1985	0.1	1.044	24.9	265403000	0.26	102.8	107.56666666666666	2.2322900526805087
California	1986	0.1	1.039	25	261213000	0.26	99.7	109.60833333333333	2.1802174408880104
California	1987	0.1	1.174	22.2	256877000	0.26	97.5	113.625	2.3764136413641364
California	1988	0.1	1.264	20.6	251614000	0.26	90.1	118.25833333333333	2.4583468395461914
California	1989	0.35	1.638	31.1	503985000	0.51	82.4	123.96666666666667	3.0390427534283404
California	1990	0.35	1.868	27.3	777806372	0.51	77.8	130.65833333333333	3.288270935646406
California	1991	0.35	2.019	27.2	729532100	0.55	68.7	136.19166666666666	3.4096799853148143
California	1992	0.35	2.051	26.8	717361867	0.55	67.5	140.31666666666666	3.3618957120798196
California	1993	0.35	1.903	31	673194758	0.59	63.4	144.45833333333334	3.029870204788001
California	1994	0.37	1.951	31.3	653545894	0.61	58.6	148.225	3.0273570585258898
California	1995	0.37	1.979	30.8	662551030	0.61	56.4	152.38333333333333	2.9870064530241716
California	1996	0.37	2.003	30.5	644499085	0.61	54.5	156.85	2.937137392413134
California	1997	0.37	2.078	29.4	634972518	0.61	53.8	160.51666666666665	2.9775101235593397
California	1998	0.37	2.249	27.1	617309414	0.61	52.3	163.00833333333333	3.1732733500332295
California	1999	0.87	3.512	31.6	849117471	1.11	47.2	166.575	4.849227074891191
California	2000	0.87	3.655	33.1	1176859405	1.21	41.6	172.2	4.881823461091754
California	2001	0.87	3.977	30.4	1120194150	1.21	38	177.06666666666666	5.165907379518073
California	2002	0.87	4.081	30.9	1074322864	1.26	35.8	179.875	5.21823488533704
California	2003	0.87	3.947	31.9	1040616216	1.26	34.7	183.95833333333334	4.934867497168742
California	2004	0.87	3.841	32.8	1030056989	1.26	33.1	188.88333333333333	4.677119915291627
California	2005	0.87	3.953	31.9	1032870955	1.26	33.1	195.29166666666666	4.65554939193514
California	2006	0.87	3.95	31.9	1035290841	1.26	32.9	201.59166666666667	4.506634698854946
California	2007	0.87	4.197	30	1007354061	1.26	31.8	207.34241666666668	4.655632048274413
California	2008	0.87	4.292	29.4	963072445	1.26	30.3	215.3025	4.584990884917732
California	2009	0.87	5.087	37	920204311	1.88	28.8	214.537	5.453651351515123
California	2010	0.87	5.374	35	845928927	1.88	26.3	218.0555	5.668373418693864
California	2011	0.87	5.395	34.8	843072021	1.88	26	224.93916666666667	5.516380354688489
California	2012	0.87	5.4	34.8	827497368	1.88	25.2	229.59391666666667	5.409550993475074
